1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80
Nutzung	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2Kinder_1EWarbeitet_RestziemlichzuHause	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Familie_2EW_2großeKinder_tagsüberalleaußerHaus	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	Single_wohntbeiPartnerPartnerin_dahernichtZuHause	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Single	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	2Pensionisten_ganzenTagzuhause	MFH groß	MFH groß	MFH groß	Queber	wluft	use	tcomfneutral_MannInnstSom	tcomfneutral_PotsInnstSom	tcomfneutral_MannVorSom
Einheit	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	Anwesenheit_Proz/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	Anwesenheit_Proz/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	Anwesenheit_Proz/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	Anwesenheit_Proz/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	kW/HH	Anwesenheit_Proz/HH	kW/HH	kW/HH	kW/HH	kW/HH	KW_ges1000000kWh/a	KW_ges1000000kWh/a	100_EW	Queber	wluft	use	tcomfneutral_MannInnstSom	tcomfneutral_MannInnstSom	tcomfneutral_MannInnstSom
Dienstleistung	Geschirrspülen	Waschen	Trocknen	Kühlen/Gefrieren	Kochen Strom	Beleuchtung	Elektronik	Kleingeräte etc	Standby	Personen	WW	Sonst1	Sonst2	Sonst3	Geschirrspülen	Waschen	Trocknen	Kühlen/Gefrieren	Kochen Strom	Beleuchtung	Elektronik	Kleingeräte etc	Standby	Personen	WW	Sonst1	Sonst2	Sonst3	Geschirrspülen	Waschen	Trocknen	Kühlen/Gefrieren	Kochen Strom	Beleuchtung	Elektronik	Kleingeräte etc	Standby	Personen	WW	Sonst1	Sonst2	Sonst3	Geschirrspülen	Waschen	Trocknen	Kühlen/Gefrieren	Kochen Strom	Beleuchtung	Elektronik	Kleingeräte etc	Standby	Personen	WW	Sonst1	Sonst2	Sonst3	Geschirrspülen	Waschen	Trocknen	Kühlen/Gefrieren	Kochen Strom	Beleuchtung	Elektronik	Kleingeräte etc	Standby	Personen	WW	Sonst1	Sonst2	Sonst3	Lastsyn	WW	Anzahl Pers	Queber	wluft	use	TcomfKat1	TcomfKat1	TcomfKat1
0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0.03	0	0	0	58.53	26.49	80	0	0	0	25	25	25
1	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0.03	0	0	0	43.29	26.49	80	0	0	0	25	25	25
2	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0.03	0	0	0	39.71	26.49	80	0	0	0	25	25	25
3	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0.06	0	0	0	38.65	52.99	80	0	0	0	25	25	25
4	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0.06	0	0	0	39.28	52.99	80	0	0	0	25	25	25
5	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	1	0.12	0	0	0	47.06	106.85	80	0	0	0	25	25	25
6	0	0	0	0.04	0	0	0.03	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0.03	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.03	0	0.03	1	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.18	0	0	0	90.43	159.84	80	0	1	0	25	25	25
7	0	0.84	0	0.04	0.08	0	0.03	0.02	0.03	1	2.2	0	0	0	0	0.84	0	0.04	0.08	0	0.03	0.02	0.03	1	1.02	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0.84	0	0.04	0.08	0	0.03	0.02	0.03	1	0.7	0	0	0	0	0.84	0	0.04	0.08	0	0.12	0.02	0.03	1	0.3	0	0	0	129.91	266.69	80	0	1	0	25	25	25
8	0	0	0	0.04	0.08	0	0.03	0.02	0.03	1	2.12	0	0	0	0	0	0	0.04	0.08	0	0.03	0.02	0.03	1	1.02	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0.08	0	0.03	0.02	0.03	0	0.68	0	0	0	0	0	0	0.04	0.08	0	0.12	0.02	0.03	1	0.3	0	0	0	134.02	266.69	60	0	1	1	25	25	25
9	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.24	0	0	0	123.68	212.82	30	0	1	1	25	25	25
10	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.15	0	0	0	116.68	133.35	30	0	1	1	25	25	25
11	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.12	0	0	0	118.79	106.85	30	0	1	1	25	25	25
12	0	0	0	0.04	0.3	0	0	0.08	0.03	0.5	0.71	0	0	0	0	0	0	0.04	0	0	0	0.08	0.03	0	1.09	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0.08	0.03	0	0.42	0	0	0	0	0	0	0.04	0.3	0	0.12	0.08	0.03	1	0.18	0	0	0	131.21	159.84	30	0	1	1	25	25	25
13	0	0	0	0.04	0.3	0	0	0.08	0.03	0.5	0.71	0	0	0	0	0	0	0.04	0	0	0	0.08	0.03	0	1.09	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0.08	0.03	0	0.42	0	0	0	0	0	0	0.04	0.3	0	0.12	0.08	0.03	1	0.24	0	0	0	129.98	212.82	30	0	1	1	25	25	25
14	0	0	0	0.04	0	0	0	0	0.03	0.5	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.04	0	0	0.12	0	0.03	1	0.15	0	0	0	115.8	133.35	30	0	1	1	25	25	25
