Qel	Qelflex	Qelabwteil	Qelabw	Qww	Pers	Queber	Solltemperatur Decke	Solltemperatur Decke	
kW/HH	kW/HH	kW/HH	kW/HH	l/HH	Pers/HH	Freigabe	Celsium	Celsium	
0.369960552	0	0	0.369960552	0	2	0	22	22	0
0.406463768	0	0	0.406463768	0	2	0	22	22	0.25
0.383651332	0	0	0.383651332	0	2	0	22	22	0.5
0.069369716	0	0	0.069369716	0	2	0	22	22	0.75
0.050372616	0	0	0.050372616	0	2	0	22	22	1
0.039531376	0	0	0.039531376	0	2	0	22	22	1.25
0.035133044	0	0	0.035133044	0	2	0	22	22	1.5
0.057411096	0	0	0.057411096	0	2	0	22	22	1.75
0.034902212	0	0	0.034902212	0	2	0	22	22	2
0.055136772	0	0	0.055136772	0	2	0	22	22	2.25
0.08442618	0	0	0.08442618	0	2	0	22	22	2.5
0.143706004	0	0	0.143706004	0	2	0	22	22	2.75
0.070116196	0	0	0.070116196	0	2	0	22	22	3
0.051774688	0	0	0.051774688	0	2	0	22	22	3.25
0.041273396	0	0	0.041273396	20	2	0	22	22	3.5
0.29730002	0	0	0.29730002	0	2	0	22	22	3.75
0.24523912	0	0	0.24523912	30	2	0	22	22	4
0.229984696	0	0	0.229984696	10	0	0	22	22	4.25
0.079970744	0	0	0.079970744	10	0	0	22	22	4.5
0.108253972	0	0	0.108253972	30	0	0	22	22	4.75
0.445442412	0	0	0.445442412	20	0	0	22	22	5
0.438270088	0	0	0.438270088	10	0	0	22	22	5.25
1.473631548	0.32616528	0.32616528	1.310548908	0	0	0	22	22	5.5
0.578941576	0.52362388	0.52362388	0.317129636	0	0	0	22	22	5.75
0.13958376	0.104573528	0.104573528	0.087296996	0	0	0	22	22	6
0.173391836	0.123008388	0.123008388	0.111887642	0	2	0	22	22	6.25
0.035517192	0	0	0.035517192	0	2	0	22	22	6.5
0.051396464	0	0	0.051396464	0	2	0	22	22	6.75
0.034404404	0	0	0.034404404	0	2	0	22	22	7
0.056449652	0	0	0.056449652	0	0	0	22	22	7.25
1.259406972	1.05798472	0	1.259406972	40	0	0	22	22	7.5
3.118341056	0.899494872	0	3.118341056	0	0	0	22	22	7.75
1.460150688	0.727792248	0	1.460150688	0	0	0	22	22	8
1.222167752	0.915857392	0	1.222167752	0	2	0	22.5	22	8.25
0.424467684	0.133080052	0	0.424467684	20	2	0	23	22	8.5
0.590752284	0	0	0.590752284	0	2	0	23.5	22	8.75
0.34570332	0	0	0.34570332	0	2	0	24	22	9
0.576896564	0	0	0.576896564	0	2	0	24.5	22	9.25
0.113065548	0	0	0.113065548	0	2	0	25	22	9.5
0.164425464	0	0	0.164425464	0	2	0	25.5	22	9.75
0.155782528	0	0	0.155782528	0	2	0	26	22	10
0.094400868	0	0	0.094400868	20	2	0	26.5	22	10.25
0.055133524	0	0	0.055133524	0	2	0	27	22	10.5
0.137915608	0	0	0.137915608	240	2	0	27.5	22	10.75
1.137139856	0	0	1.137139856	80	2	0	28	22	11
1.38892246	0	0	1.38892246	0	2	0	28.5	22	11.25
0.388213628	0	0	0.388213628	0	2	0	29	22	11.5
0.372494248	0	0	0.372494248	20	2	0	29.5	22	11.75
0.490913148	0	0	0.490913148	0	2	0	30	22	12
0.470966588	0	0	0.470966588	0	0	0	30.5	22	12.25
0.687646924	0	0	0.687646924	0	0	0	31	22	12.5
0.071777	0	0	0.071777	0	0	0	31.5	22	12.75
0.036070728	0	0	0.036070728	0	0	0	32	22	13
0.0501915	0	0	0.0501915	0	2	0	32.5	22	13.25
0.035328228	0	0	0.035328228	0	2	0	33	22	13.5
0.055056192	0	0	0.055056192	0	2	0	33.5	22	13.75
0.034526144	0	0	0.034526144	0	2	0	34	22	14
0.049618232	0	0	0.049618232	0	2	0	34	22	14.25
0.093197788	0	0	0.093197788	0	2	0	34	22	14.5
0.128087876	0	0	0.128087876	0	2	0	34	22	14.75
0.05009564	0	0	0.05009564	0	2	0	34	22	15
0.04116024	0	0	0.04116024	20	2	0	34	22	15.25
0.112959616	0	0	0.112959616	0	2	0	34	22	15.5
0.090607064	0	0	0.090607064	0	2	0	34	22	15.75
0.085400928	0	0	0.085400928	0	2	0	34	22	16
0.139499408	0	0	0.139499408	10	0	0	33.5	22	16.25
0.376579188	0	0	0.376579188	50	0	0	33	22	16.5
0.178785632	0	0	0.178785632	30	0	0	32.5	22	16.75
0.125182516	0	0	0.125182516	10	0	0	32	22	17
1.324387448	0	0	1.324387448	0	0	0	31.5	22	17.25
0.70218654	0	0	0.70218654	0	0	0	31	22	17.5
0.035797528	0.000701392	0.000701392	0.035446832	0	0	0	30.5	22	17.75
1.216685328	0.836802804	0.836802804	0.798283926	10	0	1	30	22	18
1.148579532	1.057635428	1.057635428	0.619761818	20	2	1	29.5	22	18.25
0.128179752	0.027594572	0.027594572	0.114382466	20	2	1	29	22	18.5
0.33606624	0.027515648	0.027515648	0.322308416	0	2	1	28.5	22	18.75
0.609427956	0.277889172	0.277889172	0.47048337	0	2	1	28	22	19
0.371475296	0.008953236	0.008953236	0.366998678	0	0	1	27.5	22	19.25
0.393564896	0.00164276	0.00164276	0.392743516	20	0	1	27	22	19.5
0.344150032	0	0	0.344150032	0	0	1	26.5	22	19.75
0.218769364	0	0	0.218769364	0	0	1	26	22	20
0.057206872	0	0	0.057206872	0	2	1	25.5	22	20.25
0.035095604	0	0	0.035095604	0	2	1	25	22	20.5
0.060866676	0	0	0.060866676	0	2	1	24.5	22	20.75
0.03912242	0	0	0.03912242	0	2	1	24	22	21
0.086584072	0	0	0.086584072	20	2	1	23.5	22	21.25
0.071520748	0	0	0.071520748	0	2	1	23	22	21.5
0.113213124	0	0	0.113213124	0	2	1	22.5	22	21.75
0.158510932	0	0	0.158510932	0	2	1	22	22	22
0.1518841	0	0	0.1518841	360	2	1	22	22	22.25
0.064434692	0	0	0.064434692	120	2	1	22	22	22.5
0.089868984	0	0	0.089868984	0	2	1	22	22	22.75
0.080759492	0	0	0.080759492	0	2	1	22	22	23
0.064412976	0	0	0.064412976	0	2	1	22	22	23.25
0.09584044	0	0	0.09584044	40	2	1	22	22	23.5
0.066584484	0	0	0.066584484	0	2	1	22	22	23.75
0.078114176	0	0	0.078114176	0	2	1	22	22	24
0.034457372	0	0	0.034457372	0	0	1	22	22	24.25
0.094772656	0	0	0.094772656	0	0	1	22	22	24.5
0.122670084	0	0	0.122670084	0	0	1	22	22	24.75
0.091225752	0	0	0.091225752	0	0	1	22	22	25
0.034362584	0	0	0.034362584	0	2	1	22	22	25.25
0.051674536	0	0	0.051674536	0	2	1	22	22	25.5
0.035054544	0	0	0.035054544	0	2	1	22	22	25.75
