1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nutzung	Qel_MFH_groﬂ	WW_MFH_groﬂ	EW_MFH_groﬂ	WindAPG_2013	WindAPG_2014	WindAPG_2015	Wind_2030_TU	WEB_2013	WEB_2014	WEB_2015	WEB_2016	CO2_Strommix_2015	CO2_Strommix_2050opti	Laufwasser	PV	Wind	Nachfrage	Differenz1	Biomasse_opt	Differenz2	Geothermie_opt	Differenz3	‹berschuss_2050	Unterschuss_2050	Taussen_48Stunden	IGS_48Stunden	IGN_48Stunden	Leistung Klein
Einheit	KW_ges1000000kWh/a	KW_ges1000000kWh/a	100_EW	1.37	2.176	2.549	6.677	0	0	4.53	0	52.4	453.5	9	9.5	4.4	13	10.6	0.3	10.3	2.5	7.8	9.4	7.8	ta                       	igs                      	ign                      	Pklein
Dienstleistung	Lastsyn	WW	Anzahl_Pers	GW	GW	GW	GW	MW	MW	MW	MW	CO2 [g/kWh]	CO2 [g/kWh]	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	∞C	W/m≤	W/m≤	W
0	58.53	26.49	80	0.8533498	0.065328	0.2289675	2.01616057	0	0	0	0	35.34603303	360.9505294	2.261455227	0	0.13326912	7.796307793	5.401583446	0.270098507	5.131484939	2.467812283	2.663672656	0	2.663672656	4.45	0	0	0
1	43.29	26.49	80	0.8533498	0.065328	0.2289675	2.01616057	0	0	0	0	35.34603303	360.9505294	2.261455227	0	0.13326912	7.796307793	5.401583446	0.270098507	5.131484939	2.467812283	2.663672656	0	2.663672656	1.65	0	0	0
2	39.71	26.49	80	0.857153	0.0697895	0.1522203	2.000836877	0	0	0	0	35.53036039	358.5601659	2.253002404	0	0.14237058	7.661412461	5.266039477	0.270098507	4.995940971	2.467812283	2.528128688	0	2.528128688	-0.55	0	0	0
3	38.65	52.99	80	0.860945	0.0641743	0.1095988	1.965811283	0	0	0	0	36.02885399	352.1469401	2.251376861	0	0.13091547	7.356292069	4.973999738	0.270098507	4.703901231	2.467812283	2.236088948	0	2.236088948	-1.4	0	0	0
4	39.28	52.99	80	0.8880218	0.0648885	0.0556225	2.646621204	0	0	0	0	36.87919389	343.5058398	2.138672556	0	0.13237254	6.869127215	4.598082119	0.270098507	4.327983613	2.467812283	1.860171329	0	1.860171329	-1.2	0	0	0
5	47.06	106.85	80	0.8591413	0.0639678	0.0390383	3.246434454	0	0	0	0	37.12278161	340.3254929	2.097708876	0	0.13049421	6.74348185	4.515278763	0.270098507	4.245180257	2.467812283	1.777367974	0	1.777367974	-0.9	0	0	0
6	90.43	159.84	80	0.8599345	0.063553	0.0338323	3.395293214	0	0	0	0	36.9768196	336.312489	2.213989375	0	0.12964812	6.820179481	4.476541985	0.270098507	4.206443479	2.467812283	1.738631196	0	1.738631196	-0.5	0	0	0
7	129.91	266.69	80	0.8542238	0.0837455	0.03201	3.763061913	0	0	0	0	36.28329268	334.6193151	2.385646701	0	0.17084082	7.161657377	4.605169855	0.270098507	4.335071349	2.467812283	1.867259066	0	1.867259066	-0.15	0	0	0
8	134.02	266.69	60	0.754905	0.1311263	0.033665	3.857193186	0	0	0.05457	0	35.3910097	335.9438579	2.659604858	0	0.26749755	7.612336255	4.685233847	0.270098507	4.415135341	2.467812283	1.947323057	0	1.947323057	-0.05	0.508210599	0.508210599	0.508210599
9	123.68	212.82	30	0.663816	0.1092958	0.0320875	3.649228748	0	0	0.600276	0	34.7857846	337.5483157	2.773501228	0.028657892	0.22296333	8.14896273	5.123840281	0.270098507	4.853741774	2.467812283	2.385929491	0	2.385929491	0.4	10.86396728	10.86396728	10.86396728
10	116.68	133.35	30	0.5874763	0.1461103	0.0424585	4.069535834	0	0	1.646505	0	34.1865046	338.3158698	2.874501624	0.178432939	0.29806491	8.84129696	5.490297487	0.270098507	5.22019898	2.467812283	2.752386697	0	2.752386697	1.3	25.09303068	25.03312678	25.03312678
11	118.79	106.85	30	0.4514578	0.1457228	0.049643	3.780574706	0	0	2.751135	0	34.5913428	337.1431561	2.967049198	0.400869879	0.29727441	8.945359072	5.280165585	0.270098507	5.010067079	2.467812283	2.542254795	0	2.542254795	1.9	32.42175484	31.81621508	31.81621508
12	131.21	159.84	30	0.327018	0.157692	0.0461698	3.388725913	0	0	1.870782	0	34.78424526	329.4817643	3.112372729	0.595138846	0.32169168	9.134212536	5.105009281	0.270098507	4.834910774	2.467812283	2.367098491	0	2.367098491	2.3	49.95871724	42.54618729	42.54618729
13	129.98	212.82	30	0.236097	0.1865313	0.0496218	4.047644841	0	0	1.378296	0	34.86158737	322.8144504	3.086147304	0.68240964	0.38052375	9.167486718	5.018406024	0.270098507	4.748307517	2.467812283	2.280495234	0	2.280495234	2.4	37.23529608	34.74895556	34.74895556
14	115.8	133.35	30	0.1634748	0.243859	0.0496285	3.703956226	0	0	1.518078	0	34.82769604	318.9623353	2.998042881	0.65880024	0.49747236	9.00998036	4.855664878	0.270098507	4.585566372	2.467812283	2.117754088	0	2.117754088	2.35	32.85956525	29.42205822	29.42205822
15	105.24	79.48	30	0.0773598	0.2987735	0.0574198	3.351511219	0	0	1.688781	0	34.73635981	322.5729357	2.953286268	0.506234992	0.60949794	8.652571967	4.583552768	0.270098507	4.313454261	2.467812283	1.845641978	0	1.845641978	2.25	14.55708979	14.55297958	14.55297958
16	105.64	79.48	30	0.0711548	0.3266118	0.0604155	2.644432104	0	0	2.142696	0	34.33829897	315.2435881	2.926410626	0.255882035	0.66628797	8.405777747	4.557197116	0.270098507	4.287098609	2.467812283	1.819286326	0	1.819286326	1.8	1.541886943	1.541886943	1.541886943
17	129.15	133.35	30	0.0823188	0.3459023	0.052433	2.567813624	0	0	2.926947	0	33.68651975	290.3503942	3.161464124	0.055085489	0.70564059	8.483246209	4.561056006	0.270098507	4.290957499	2.467812283	1.823145216	0	1.823145216	1.45	0	0	0
18	166.83	159.84	80	0.0775368	0.3096723	0.0460088	3.8134112	0	0	3.319593	0	33.47459218	277.768244	3.906938079	0	0.63173139	8.652315024	4.113645555	0.270098507	3.843547048	2.467812283	1.375734765	0	1.375734765	1.45	0	0	0
19	187.78	159.84	80	0.0898048	0.2047083	0.0438683	5.181598343	0	0	2.86149	0	33.95717186	307.8721097	4.016174559	0	0.41760483	8.512537766	4.078758377	0.270098507	3.80865987	2.467812283	1.340847587	0	1.340847587	1.7	0	0	0
